#{"t_start": 1713328390.8060434, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
1608.069515,804,736.263149,224,9
3286.820968,1703,737.772156,452,26
1347.991174,745,739.701733,232,11
1587.083956,874,740.695746,264,10
1499.090304,882,742.689759,237,10
3610.54538,1771,745.23984,465,32
4313.825236,2221,748.112004,512,35
3662.887604,1820,750.70927,512,28
2494.664522,1323,752.006204,382,19
3001.143725,1619,754.512195,425,26
3710.80248,1733,757.051199,504,27
1960.909603,1066,758.174229,307,13
1909.023359,999,760.297115,298,13
3295.712931,1673,762.822144,493,22
224.506726,211,763.417146,39,2
20683.066573,2418,766.392144,389,19
2296.856199,1254,768.613156,375,17
1187.447247,715,769.528787,197,5
2528.787719,1336,771.81213,391,20
531.240382,331,772.50714,62,0
1112.052938,684,773.392139,188,6
620.531919,397,774.093169,95,4
1034.908844,619,775.951203,174,7
1678.323056,892,776.983209,271,10
1031.947003,578,777.794723,142,4
3654.923811,1882,780.411281,449,28
2704.250565,1446,782.810305,404,19
1984.313086,885,783.815304,245,8
2976.442704,1498,786.235305,421,28
1494.871794,857,787.226989,241,8
1133.935808,659,789.099992,210,8
2500.724151,1350,790.386999,392,20
4432.067833,2275,794.226929,578,34
1133.431733,654,795.108962,184,7
925.044698,565,795.918961,161,3
5125.821134,2691,799.072034,626,39
4308.32026,2245,802.907082,589,31
5984.369245,2792,806.15108,727,50
4235.727792,2195,808.950758,553,33
3638.604757,1840,811.542777,536,27
4855.921912,2394,814.499815,650,40
4559.361353,2249,817.361819,652,35
1403.600715,795,819.316814,247,10
3454.273354,1797,820.892831,541,26
2760.469668,1447,823.276892,417,23
307.18853,263,823.904893,41,1
2910.372104,1473,826.3039,431,21
4734.556267,2171,829.1189,565,38
926.254191,556,829.911903,152,6
1762.430783,993,831.998911,307,9
4025.762604,2089,834.780938,563,30
4187.850207,2154,837.588491,559,32
5043.366309,2415,840.523929,580,40
968.387792,587,841.341956,167,4
6102.904976,3052,845.765632,646,49
3338.080318,1711,848.261726,496,25
2750.779935,1461,849.616725,414,19
1546.128423,877,851.664726,276,10
2848.225807,1534,854.085723,464,22
4271.31955,2175,856.926429,571,35
5031.119415,2628,860.007807,615,42
2140.986226,1155,861.183837,336,16
4222.035148,2088,863.96737,544,33
2596.632065,1413,866.322367,443,20
2580.425538,1400,868.640367,426,19
4351.558062,1961,871.312377,534,36
3974.564539,1864,873.946,526,30
3679.491202,1972,876.62006,538,27
4075.771897,1968,879.312573,519,30
3503.259152,1729,880.829576,518,27
3531.199355,1817,883.451573,525,27
2156.811539,1156,885.657131,335,13
3634.61785,1885,888.424951,491,30
2587.551139,1335,889.705514,367,21
2642.844568,1366,892.0096,384,22
4028.914923,2042,894.744631,551,36
3503.349441,1842,897.387367,449,23
3511.879832,1754,899.969244,517,31
3438.622713,1721,902.512063,501,31
445.655795,333,903.182064,63,2
3528.900591,1664,905.698017,444,27
2706.1158,1414,907.023017,361,18
1019.591962,607,908.888016,190,4
1129.771494,674,909.762769,189,5
1637.075536,924,910.78531,265,7
3760.675688,1958,913.492861,561,24
2498.2659,1296,915.789394,402,18
