#{"t_start": 1713322880.695314, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
2963.623225,2546,1061.173375,100,6
23657.727938,3824,1065.96273,174,2
6090.516017,3219,1069.376785,139,13
15512.206236,2987,1073.651866,126,1
2273.672176,2195,1076.445903,87,3
4181.893909,2771,1079.543417,156,3
19705.463508,3285,1083.977417,160,1
19719.002856,4950,1089.4142,223,3
430.886072,357,1091.09134,33,0
2582.46277,1737,1092.590605,115,0
1897.642926,1977,1095.27964,66,2
845.038684,622,1097.153157,50,0
22197.445699,3332,1100.61002,155,0
3603.047048,2384,1103.576023,158,3
19363.674387,3613,1108.240903,164,1
5502.603654,4323,1113.298117,198,6
5480.329542,3579,1117.963114,195,1
3778.211839,2550,1120.982947,156,0
3022.017411,2103,1123.724476,121,0
20533.662162,5949,1130.744475,263,6
2765.690028,1845,1133.354031,131,1
3894.268195,2538,1136.329363,160,0
3012.536889,2706,1140.411384,133,0
4239.901364,2806,1143.546383,145,6
2731.129118,1864,1146.144605,114,0
3453.171485,2278,1148.980649,143,2
5042.684363,3673,1153.7107,184,6
1856.431956,1264,1154.915708,96,1
5464.974218,3650,1159.589056,214,4
7204.583091,4715,1165.91977,259,3
5429.244164,4200,1170.87867,187,4
3124.446982,2836,1174.051194,124,1
2516.424611,1685,1176.566196,124,0
1255.771742,887,1177.556195,62,0
4756.197981,3141,1181.923601,170,2
20468.544055,4223,1186.901693,184,4
2362.552315,1583,1189.307206,125,0
3613.650047,2425,1192.195207,142,0
8718.808211,3142,1195.531206,151,19
4361.748289,2806,1199.691227,116,10
2999.798943,1984,1202.345226,118,1
4571.114196,3603,1205.94525,139,14
8954.317107,3407,1210.459548,167,20
2302.899607,1618,1212.920926,90,0
